Fund_name,Year,ms,lag_mr,performance,lag_perf,FUM,over_50,female,Average.fees,Fund_type,Cost.ratio
AusBev Superannuation Fund,2004,0.00119562227908812,NA,-0.0691813804173353,NA,297469,NA,NA,NA,Corporate,0.945521738895523
Auscoal Superannuation Fund,2004,0.223681492193146,NA,0.730818619582664,NA,2011499,45.9278501390312,22.5376847651105,NA,Industry,0.52978998476699
Austchoice Super,2004,0.182231289929784,NA,-0.0691813804173353,NA,744804,45.005207081631,41.40831530882,NA,Retail,0.616526492943007
Australasian Conference Association Superannuation Trust - Australia,2004,0.0546118636082007,NA,-1.36918138041734,NA,199437,23.6393821279053,61.7511188104519,NA,Corporate,0.378661134533449
Australia's Unclaimed Super Fund,2004,0.20658154137072,NA,-3.06918138041734,NA,522666,12.6935357829526,46.6519248483539,NA,Retail - ERF,2.99799432321839
Australia First Super Trust,2004,0.00767436369286611,NA,2.73081861958266,NA,26081,NA,NA,NA,Retail,1.54685089834669
Australian Catholic Superannuation and Retirement Fund,2004,0.347961421804173,NA,1.03081861958266,NA,1592470,27.5862638542475,74.2554632397879,NA,Industry,0.669213417172341
Australian Child Care Super Fund,2004,0.0122860496264917,NA,-0.469181380417336,NA,33797,NA,NA,NA,Industry,3.66299098100992
Australian Choice Superannuation Plan,2004,0.0654392147891055,NA,-1.06918138041734,NA,97961,NA,NA,NA,Retail,1.25866317789896
Australian Christian Superannuation Fund,2004,0.00919784955259088,NA,-2.76918138041734,NA,26264,NA,NA,NA,Corporate,1.47303397481587
Australian Combined Employers Superannuation Plan,2004,0.00243836267754917,NA,-2.06918138041734,NA,6166,NA,NA,NA,Retail,3.10471847044378
Australian Eligible Rollover Fund,2004,0.213105437648897,NA,-2.36918138041734,NA,704903,9.23924957674459,47.4727492188594,NA,Retail - ERF,2.32681811369646
Australian Enterprise Superannuation Fund,2004,0.0160829847459604,NA,-0.169181380417337,NA,66704,10.6176996737872,60.4914237609176,NA,Retail,3.00323331270753
Australian Ethical Retail Superannuation Fund,2004,0.0444088275089873,NA,-0.169181380417337,NA,114186,17.4415161385845,52.4133846609417,NA,Retail,2.82887752642457
Australian Government Employees Superannuation Trust,2004,0.376375611041024,NA,1.63081861958266,NA,807262,23.4573557085768,55.4865628722257,NA,Industry,0.895311475840604
Australian Meat Industry Superannuation Trust,2004,0.0889158177666683,NA,2.53081861958266,NA,410306,NA,NA,NA,Industry,0.854236490212957
Australian Red Cross Society - QLD Division Staff Supn Plan,2004,0.00283297692729747,NA,0.830818619582663,NA,16730,NA,NA,NA,Corporate,1.35175628433494
Australian Retirement Fund - Arf,2004,2.08277597342648,NA,1.03081861958266,NA,6439508,19.1354995040483,47.1650094900106,NA,Industry,0.828202120143502
Australian Superannuation Savings Employment Trust - Asset Super,2004,0.324259044504615,NA,1.13081861958266,NA,767556,NA,NA,NA,Industry,1.4822505971783
Australian Wool Testing Authority Productivity Fund,2004,0.00159023652883642,NA,-2.66918138041734,NA,5694,NA,NA,NA,Corporate,0.282938790908233
Australian YMCA Superannuation Fund,2004,0.010224631903926,NA,4.03081861958266,NA,29293,NA,NA,NA,Corporate,1.97560927711553
AustralianSuper,2004,1.49608078354448,NA,2.03081861958266,NA,5426803,15.5008095455249,28.8940813227179,NA,Industry,0.898491463267198
Austsafe Superannuation Fund,2004,0.124201399412072,NA,-0.869181380417336,NA,431173,13.8867353342932,30.3826558865877,NA,Industry,1.06207893082663
Avanteos Superannuation Trust,2004,0.343569620427621,NA,-6.66918138041734,NA,220427,52.023362536504,40.383813099708,NA,Retail,1.83052434456929
Aventis Pharma Super,2004,0.000559527667553554,NA,2.93081861958266,NA,21331,NA,NA,NA,Corporate,1.45669291338583
AvSuper Fund,2004,0.0919804587808827,NA,-0.269181380417336,NA,698031,NA,NA,NA,Public Sector,0.697025805215858
AXA Australia Staff Superannuation Plan,2004,0.0881854869163878,NA,0.430818619582665,NA,279806,NA,NA,NA,Corporate,1.21403149235094
Axis Retirement Solutions,2004,0.00554423204621486,NA,-4.16918138041734,NA,18646,NA,NA,NA,Retail,1.28598737183572
Bank of Singapore Superannuation Fund,2004,0.000881501483268582,NA,4.83081861958266,NA,5113,NA,NA,NA,Corporate,0.506050605060506
Bankwest Staff Superannuation Plan,2004,0.0197248227224932,NA,-0.169181380417337,NA,207021,NA,NA,NA,Corporate,0.502969494484482
Barclay Mowlem Group Superannuation Plan,2004,0.00933920391070967,NA,-1.86918138041734,NA,42752,NA,NA,NA,Corporate,0.67687481943126
Barristers' Superannuation Fund,2004,0.00267787978436157,NA,-0.669181380417337,NA,30689,NA,NA,NA,Industry,0.617294084812267
Bayer Cropscience Super Plan,2004,0.00340428412469425,NA,2.43081861958266,NA,13859,NA,NA,NA,Corporate,0.952263678528917
BDO Staff Superannuation Fund,2004,0.00128200549793849,NA,1.23081861958266,NA,3034,NA,NA,NA,Corporate,2.46959775491113
Beacon Superannuation Plan,2004,0.013448296571024,NA,1.23081861958266,NA,145619,NA,NA,NA,Retail,1.84100060272976
Bechtel Australia Superannuation Plan,2004,0.00961405960705177,NA,-5.26918138041734,NA,41036,NA,NA,NA,Corporate,0.315834071563379
Beckman Coulter Superannuation Fund,2004,0.000818677324104674,NA,3.03081861958266,NA,5189,NA,NA,NA,Corporate,0.642398286937901
Beiersdorf Australia Limited Superannuation Fund,2004,0.00201233634821892,NA,2.73081861958266,NA,10109,NA,NA,NA,Corporate,0.205046420231247
Bell Staff Superannuation Fund,2004,0.0033021948660529,NA,1.53081861958266,NA,3997,NA,NA,NA,Corporate,2.32277526395173
Bendigo Staff Superannuation Plan,2004,0.0527133960484664,NA,-0.769181380417336,NA,92458,NA,NA,NA,Corporate,0.163930227197049
Betros Bros Superannuation Fund No 2,2004,0.000182582712570107,NA,3.93081861958266,NA,5449,NA,NA,NA,Corporate,2.49330311147744
BHP Billiton Superannuation Fund,2004,0.0324526047181061,NA,0.530818619582664,NA,1443722,NA,NA,NA,Corporate,0.285459089309719
